GEMSTONE_CATEGORY,GEMSTONE_NAME
Semi-precious (Lab-Created),Andradite Garnet (Lab-Created)
Semi-precious (Lab-Created),Apatite (Lab-Created)
Semi-precious (Lab-Created),Aquamarine (Lab-Created)
Semi-precious (Lab-Created),Arkansas stone (Lab-Created)
Semi-precious (Lab-Created),Axinite (Lab-Created)
Semi-precious (Lab-Created),Azurite (Lab-Created)
Semi-precious (Lab-Created),Barite (Lab-Created)
Semi-precious (Lab-Created),Benitoite (Lab-Created)
Semi-precious (Lab-Created),Beryl (Lab-Created)
Semi-precious (Lab-Created),Bi-color tourmaline (Lab-Created)
Semi-precious (Lab-Created),Bixbite (Lab-Created)
Semi-precious (Lab-Created),Bloodstone (Lab-Created)
Semi-precious (Lab-Created),Bowenite (Lab-Created)
Semi-precious (Lab-Created),Calcite (Lab-Created)
Semi-precious (Lab-Created),Californite (Lab-Created)
Semi-precious (Lab-Created),Carnelian (Lab-Created)
Semi-precious (Lab-Created),Chalcedony (Lab-Created)
Semi-precious (Lab-Created),Chalybite (Lab-Created)
Semi-precious (Lab-Created),Charoite (Lab-Created)
Semi-precious (Lab-Created),Chrome Diopside (Lab-Created)
Semi-precious (Lab-Created),Chrome sphene (Lab-Created)
Semi-precious (Lab-Created),Chrome Tourmaline (Lab-Created)
Semi-precious (Lab-Created),Chrysoberyl (Lab-Created)
Semi-precious (Lab-Created),Chrysocolla (Lab-Created)
Semi-precious (Lab-Created),Chrysoprase (Lab-Created)
Semi-precious (Lab-Created),Citrine (Lab-Created)
Semi-precious (Lab-Created),Clinohumite (Lab-Created)
Semi-precious (Lab-Created),Conch pearl (Lab-Created)
Semi-precious (Lab-Created),Copal (Lab-Created)
Semi-precious (Lab-Created),Coral (Lab-Created)
Semi-precious (Lab-Created),Cordierite (Lab-Created)
Semi-precious (Lab-Created),Corundum (Lab-Created)
Semi-precious (Lab-Created),Cyprine (Lab-Created)
Semi-precious (Lab-Created),Danburite (Lab-Created)
Semi-precious (Lab-Created),Datolite (Lab-Created)
Semi-precious (Lab-Created),Demantoid Garnet (Lab-Created)
Semi-precious (Lab-Created),Diaspore (Lab-Created)
Semi-precious (Lab-Created),Diopside (Lab-Created)
Semi-precious (Lab-Created),Dioptase (Lab-Created)
Semi-precious (Lab-Created),Dravite Tourmaline (Lab-Created)
Semi-precious (Lab-Created),Ekanite (Lab-Created)
Semi-precious (Lab-Created),Enstatite (Lab-Created)
Semi-precious (Lab-Created),Feldspar (Lab-Created)
Semi-precious (Lab-Created),Fluorite (Lab-Created)
Semi-precious (Lab-Created),Freshwater pearl (Lab-Created)
Semi-precious (Lab-Created),Garnet (Lab-Created)
Semi-precious (Lab-Created),Goldstone (Lab-Created)
Semi-precious (Lab-Created),Goshenite (Lab-Created)
Semi-precious (Lab-Created),Green Beryl (Lab-Created)
Semi-precious (Lab-Created),Greenovite (Lab-Created)
Semi-precious (Lab-Created),Grossular (Lab-Created)
Semi-precious (Lab-Created),Hackmanite (Lab-Created)
Semi-precious (Lab-Created),Hauyne (Lab-Created)
Semi-precious (Lab-Created),Heliodor (Lab-Created)
Semi-precious (Lab-Created),Hiddenite (Lab-Created)
Semi-precious (Lab-Created),Hydrogrossular Garnet (Lab-Created)
Semi-precious (Lab-Created),Idocrase (Lab-Created)
Semi-precious (Lab-Created),Inclusion quartz (Lab-Created)
Semi-precious (Lab-Created),Indicolite Tourmaline (Lab-Created)
Semi-precious (Lab-Created),Iolite (Lab-Created)
Semi-precious (Lab-Created),Jade (Lab-Created)
Semi-precious (Lab-Created),Jadeite (Lab-Created)
Semi-precious (Lab-Created),Jasper (Lab-Created)
Semi-precious (Lab-Created),Kornerupine (Lab-Created)
Semi-precious (Lab-Created),Kunzite (Lab-Created)
Semi-precious (Lab-Created),Kyanite (Lab-Created)
Semi-precious (Lab-Created),Labradorite (Lab-Created)
Semi-precious (Lab-Created),Lapiz Lazuli (Lab-Created)
Semi-precious (Lab-Created),Larimar (Lab-Created)
Semi-precious (Lab-Created),Liddicoatite Tourmaline (Lab-Created)
Semi-precious (Lab-Created),Malachite (Lab-Created)
Semi-precious (Lab-Created),Maw-sit-sit (Lab-Created)
Semi-precious (Lab-Created),Maxixe Beryl (Lab-Created)
Semi-precious (Lab-Created),Melo melo pearl (Lab-Created)
Semi-precious (Lab-Created),Moonstone (Lab-Created)
Semi-precious (Lab-Created),Morganite (Lab-Created)
Semi-precious (Lab-Created),Nephrite (Lab-Created)
Semi-precious (Lab-Created),Onyx (Lab-Created)
Semi-precious (Lab-Created),Opal (Lab-Created)
Semi-precious (Lab-Created),Paraiba type Tourmaline (Lab-Created)
Semi-precious (Lab-Created),Pearl (Lab-Created)
Semi-precious (Lab-Created),Pectolite (Lab-Created)
Semi-precious (Lab-Created),Peridot (Lab-Created)
Semi-precious (Lab-Created),Phenakite (Lab-Created)
Semi-precious (Lab-Created),Poudretteite (Lab-Created)
Semi-precious (Lab-Created),Praseolite (cordierite) (Lab-Created)
Semi-precious (Lab-Created),Prasiolite (green quartz) (Lab-Created)
Semi-precious (Lab-Created),Prasolite (chlorine group) (Lab-Created)
Semi-precious (Lab-Created),Pyrope Garnet (Lab-Created)
Semi-precious (Lab-Created),Quahog (Lab-Created)
Semi-precious (Lab-Created),Quartz (Lab-Created)
Semi-precious (Lab-Created),Reisling Beryl (Lab-Created)
Semi-precious (Lab-Created),Rhodochrosite (Lab-Created)
Semi-precious (Lab-Created),Rock Crystal (Lab-Created)
Semi-precious (Lab-Created),Rose Quartz (Lab-Created)
Semi-precious (Lab-Created),Rubellite Tourmaline (Lab-Created)
Semi-precious (Lab-Created),Sard (Lab-Created)
Semi-precious (Lab-Created),Sardonyx (Lab-Created)
Semi-precious (Lab-Created),Scapolite (Lab-Created)
Semi-precious (Lab-Created),Schorl Tourmaline (Lab-Created)
Semi-precious (Lab-Created),Sea of Cortez pearl (Lab-Created)
Semi-precious (Lab-Created),Siderite (Lab-Created)
Semi-precious (Lab-Created),Smoky Quartz (Lab-Created)
Semi-precious (Lab-Created),Sodalite (Lab-Created)
Semi-precious (Lab-Created),South Sea Pearl (Lab-Created)
Semi-precious (Lab-Created),Spectrolite (Lab-Created)
Semi-precious (Lab-Created),Spessartite Garnet (Lab-Created)
Semi-precious (Lab-Created),Sphalerite (Lab-Created)
Semi-precious (Lab-Created),Sphene (Lab-Created)
Semi-precious (Lab-Created),Spinel (Lab-Created)
Semi-precious (Lab-Created),Spodumene (Lab-Created)
Semi-precious (Lab-Created),Sunstone (Lab-Created)
Semi-precious (Lab-Created),Tanzanite (Lab-Created)
Semi-precious (Lab-Created),Tashmarine Diopside (Lab-Created)
Semi-precious (Lab-Created),Thulite (Lab-Created)
Semi-precious (Lab-Created),Tigereye (Lab-Created)
Semi-precious (Lab-Created),Titanite (Lab-Created)
Semi-precious (Lab-Created),Topaz (Lab-Created)
Semi-precious (Lab-Created),Tourmaline (Lab-Created)
Semi-precious (Lab-Created),Tri-color Tourmaline (Lab-Created)
Semi-precious (Lab-Created),True Blue Beryl (Lab-Created)
Semi-precious (Lab-Created),Tsavorite Garnet (Lab-Created)
Semi-precious (Lab-Created),Turquoise (Lab-Created)
Semi-precious (Lab-Created),Uvarovite (Lab-Created)
Semi-precious (Lab-Created),Vanadium Beryl (Lab-Created)
Semi-precious (Lab-Created),Verdite Tourmaline (Lab-Created)
Semi-precious (Lab-Created),Vesuvianite (Lab-Created)
Semi-precious (Lab-Created),Watermelon Tourmaline (Lab-Created)
Semi-precious (Lab-Created),Willemite (Lab-Created)
Semi-precious (Lab-Created),Zincite (Lab-Created)
Semi-precious (Lab-Created),Zircon (Lab-Created)
Semi-precious (Lab-Created),Zoisite (Lab-Created)
Semi-precious (Lab-Created),Zultanite (Lab-Created)
Synthetic,CZ Cubic zirconia (synthetic)
Non-precious,Amber
Non-precious,Swarovski Crystals
Non-precious,Glass
