GEMSTONE_MAIN_CATEGORY,GEMSTONE_SUB_CATEGORY,GEMSTONE_CLASSIFICATION,GEMSTONE_NAME
Gemstones,Semi-Precious,Other,Hematite
Gemstones,Semi-Precious,Other,Hemimorphite
Gemstones,Semi-Precious,Other,Herderite
Gemstones,Semi-Precious,Other,Hessonite
Gemstones,Semi-Precious,Other,Hiddenite
Gemstones,Semi-Precious,Other,Hodgkinsonite
Gemstones,Semi-Precious,Other,Holtite
Gemstones,Semi-Precious,Other,Howlite
Gemstones,Semi-Precious,Other,Hübnerite
Gemstones,Semi-Precious,Other,Huebnerite
Gemstones,Semi-Precious,Other,Humite
Gemstones,Semi-Precious,Other,Hureaulite
Gemstones,Semi-Precious,Other,Hurlbutite
Gemstones,Semi-Precious,Other,Hydrogrossular 
Gemstones,Semi-Precious,Other,Hyperitdiabas
Gemstones,Semi-Precious,Other,Idocrase
Gemstones,Semi-Precious,Other,Inderite
Gemstones,Semi-Precious,Other,Iolite
Gemstones,Semi-Precious,Other,Jade
Gemstones,Semi-Precious,Other,Jadeite
Gemstones,Semi-Precious,Other,Jasper
Gemstones,Semi-Precious,Other,Jeremejevite
Gemstones,Semi-Precious,Other,Jet
Gemstones,Semi-Precious,Other,Kämmererite
Gemstones,Semi-Precious,Other,Kornerupine
Gemstones,Semi-Precious,Other,Kunzite
Gemstones,Semi-Precious,Other,Kurnakovite
Gemstones,Semi-Precious,Other,Kyanite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Achroite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Actinolite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Adamite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Agate
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Albite
Gemstones,Lab-Created Semi-Precious,Lab-Created Alexandrite,Lab-Created Alexandrite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Algodonite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Almandine 
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Amazonite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Amblygonite
Gemstones,Lab-Created Semi-Precious,Lab-Created Amethyst,Lab-Created Amethyst
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Ametrine
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Ammolite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Analcime
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Anatase
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Andalusite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Andesine
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Andradite 
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Angelite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Anglesite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Anhydrite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Anorthite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Apatite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Apophyllite
Gemstones,Lab-Created Semi-Precious,Lab-Created Aquamarine,Lab-Created Aquamarine
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Aragonite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Arkansas stone
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Augelite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Axinite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Azurite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Barite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Bayldonite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Benitoite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Beryl
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Beryllonite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Bismutotantalite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Bixbite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Bloodstone
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Boleite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Boracite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Bornite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Bowenite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Brazilianite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Breithauptite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Brookite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Brucite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Bustamite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Bytownite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Calcite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Californite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Canasite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Cancrinite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Carnelian
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Cassiterite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Catapleiite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Celestite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Ceruleite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Cerussite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chabazite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chalcedony
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chalybite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chambersite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Charoite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chicken blood
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Childrenite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chiolite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chrome Diopside
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chrome sphene
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chromite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chrysoberyl
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chrysocolla
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Chrysoprase
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Cinnabar
Gemstones,Lab-Created Semi-Precious,Lab-Created Citrine,Lab-Created Citrine
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Clinochlore
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Clinohumite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Cobaltite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Colemanite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Copal
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Cordierite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Corundum
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Covellite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Creedite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Crocoite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Cryolite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Cuprite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Cyprine
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Danburite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Datolite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Demantoid
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Demantoid 
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Demantoid 
